It took 4.01598596572876 seconds to calculate the Mandelbrot graph.
It took 0.10479903221130371 seconds to dump the image.
         1272295 function calls (1250243 primitive calls) in 4.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:245(_check_versions)
      597    0.001    0.000    0.002    0.000 typing.py:1609(__hash__)
     4162    0.001    0.000    0.002    0.000 __init__.py:778(__getitem__)
       64    0.000    0.000    0.002    0.000 util.py:401(replaced_by_pep8)
        2    0.000    0.000    0.002    0.001 version.py:1(<module>)
     1286    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      230    0.001    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 Image.py:338(preinit)
        1    0.000    0.000    0.002    0.002 font_manager.py:1625(_load_fontmanager)
      219    0.001    0.000    0.002    0.000 _compiler.py:511(_compile_info)
  483/446    0.000    0.000    0.002    0.000 contextlib.py:132(__enter__)
      113    0.000    0.000    0.002    0.000 rcsetup.py:99(f)
 1885/313    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
     8051    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
       12    0.000    0.000    0.002    0.000 axis.py:1523(get_majorticklocs)
        1    0.000    0.000    0.002    0.002 font_manager.py:1030(json_load)
        1    0.000    0.000    0.002    0.002 mathtext.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
      617    0.000    0.000    0.002    0.000 {built-in method builtins.any}
     4844    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
       51    0.000    0.000    0.002    0.000 text.py:157(_reset_visual_defaults)
 1885/313    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       24    0.001    0.000    0.002    0.000 util.py:210(_collapse_string_to_ranges)
        8    0.000    0.000    0.002    0.000 axis.py:946(set_tick_params)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
     59/7    0.000    0.000    0.002    0.000 core.py:3923(leave_whitespace)
      663    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
   129/61    0.000    0.000    0.002    0.000 core.py:4015(copy)
        1    0.000    0.000    0.002    0.002 __init__.py:299(loads)
   306/12    0.001    0.000    0.002    0.000 core.py:813(_parseNoCache)
        1    0.000    0.000    0.002    0.002 decoder.py:332(decode)
        1    0.001    0.001    0.002    0.002 decoder.py:343(raw_decode)
       56    0.001    0.000    0.002    0.000 lines.py:686(recache)
      347    0.000    0.000    0.002    0.000 font_manager.py:961(copy)
       39    0.000    0.000    0.002    0.000 colors.py:1081(from_list)
      291    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
    72/12    0.000    0.000    0.002    0.000 core.py:4172(parseImpl)
      141    0.000    0.000    0.002    0.000 transforms.py:1472(transform)
        2    0.000    0.000    0.002    0.001 axis.py:1115(set_clip_path)
    56/15    0.000    0.000    0.002    0.000 typing.py:1299(_determine_new_args)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
        7    0.000    0.000    0.002    0.000 core.py:2833(__init__)
    56/15    0.000    0.000    0.002    0.000 typing.py:1328(_make_substitution)
        7    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
        2    0.000    0.000    0.002    0.001 _base.py:3308(grid)
        4    0.000    0.000    0.002    0.000 axis.py:1696(grid)
     1024    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      114    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.002    0.001 __init__.py:12(__getattr__)
      311    0.000    0.000    0.002    0.000 function_base.py:487(add_newdoc)
     2396    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
        1    0.000    0.000    0.002    0.002 _fontconfig_pattern.py:55(_make_fontconfig_parser)
      261    0.000    0.000    0.002    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.002    0.002 axes3d.py:41(Axes3D)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
       15    0.000    0.000    0.002    0.000 core.py:1601(__or__)
     6187    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       10    0.000    0.000    0.002    0.000 util.py:412(_inner)
     2703    0.001    0.000    0.002    0.000 cbook.py:468(_strip_comment)
      770    0.001    0.000    0.002    0.000 font_manager.py:700(__hash__)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
       15    0.000    0.000    0.002    0.000 core.py:4399(__init__)
      356    0.000    0.000    0.002    0.000 inspect.py:794(_finddoc)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
      261    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
       74    0.000    0.000    0.002    0.000 artist.py:1243(_cm_set)
  483/446    0.000    0.000    0.002    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.002    0.002 pyplot.py:872(figure)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       19    0.000    0.000    0.002    0.000 rcsetup.py:677(cycler)
 1322/420    0.001    0.000    0.002    0.000 _parser.py:178(getwidth)
      115    0.000    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
     7463    0.002    0.000    0.002    0.000 typing.py:1599(<genexpr>)
        1    0.000    0.000    0.002    0.002 _mathtext.py:1(<module>)
    33019    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.002    0.002 pyplot.py:549(new_figure_manager)
      509    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
     5374    0.001    0.000    0.002    0.000 _parser.py:261(get)
      385    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
      438    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      663    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
       12    0.000    0.000    0.002    0.000 patches.py:633(draw)
       12    0.000    0.000    0.002    0.000 patches.py:583(_draw_paths_with_artist_properties)
      515    0.001    0.000    0.002    0.000 font_manager.py:989(_json_decode)
        1    0.000    0.000    0.002    0.002 __init__.py:1518(inner)
2622/1973    0.000    0.000    0.002    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
      173    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
        2    0.001    0.000    0.001    0.001 colors.py:2254(__call__)
        1    0.000    0.000    0.001    0.001 _axes.py:5747(imshow)
      165    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
       43    0.000    0.000    0.001    0.000 core.py:4404(<genexpr>)
      278    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      308    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      141    0.000    0.000    0.001    0.000 transforms.py:2408(transform_affine)
      663    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 version.py:161(Version)
        1    0.000    0.000    0.001    0.001 core.py:389(ParserElement)
     4487    0.001    0.000    0.001    0.000 __init__.py:698(_get)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        3    0.001    0.000    0.001    0.000 colorizer.py:161(_pass_image_data)
        1    0.000    0.000    0.001    0.001 texmanager.py:1(<module>)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1257(wrap)
      778    0.000    0.000    0.001    0.000 artist.py:414(pchanged)
        2    0.000    0.000    0.001    0.001 dataclasses.py:921(_process_class)
       24    0.000    0.000    0.001    0.000 ticker.py:214(format_ticks)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:863(_create_)
      253    0.000    0.000    0.001    0.000 font_manager.py:711(__eq__)
        2    0.000    0.000    0.001    0.001 core.py:6134(srange)
       14    0.000    0.000    0.001    0.000 core.py:113(doc_note)
  212/149    0.001    0.000    0.001    0.000 transforms.py:2431(get_affine)
      409    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       47    0.000    0.000    0.001    0.000 text.py:194(update)
    10396    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      582    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      976    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       48    0.000    0.000    0.001    0.000 path.py:279(__deepcopy__)
